============================================================
  WATER NETWORK DEMAND SETUP: 2026-07-08 12:44:37.854844
============================================================
Config: avg_demand=0.003, dist=lognormal, mode=random, preserve_patterns=True

JUNCTION_ID          | BASE_DEMAND  | PATTERN_NAME   
------------------------------------------------------------
[MODE: PRESERVE DEMAND PATTERNS]

    - Valve: IoT_Valve_New_4 (Initial: CLOSED, K=1000)
--------------------------------------------------
  [HARDWARE DEPLOYED] IoT_Tank_CSA_5 <--> Junction_1579
    - Valve: IoT_Valve_New_5 (Initial: CLOSED, K=1000)
--------------------------------------------------
  [HARDWARE DEPLOYED] IoT_Tank_CSA_6 <--> Junction_1529
    - Valve: IoT_Valve_New_6 (Initial: CLOSED, K=1000)
--------------------------------------------------
  [HARDWARE DEPLOYED] IoT_Tank_CSA_7 <--> Junction_1446
    - Valve: IoT_Valve_New_7 (Initial: CLOSED, K=1000)
--------------------------------------------------
  [HARDWARE DEPLOYED] IoT_Tank_CSA_8 <--> Junction_1424
    - Valve: IoT_Valve_New_8 (Initial: CLOSED, K=1000)
--------------------------------------------------
  [HARDWARE DEPLOYED] IoT_Tank_CSA_9 <--> Junction_1594
    - Valve: IoT_Valve_New_9 (Initial: CLOSED, K=1000)
--------------------------------------------------

[SETUP] DEPLOYING NEW IoT TANKS
Strategy used: RANDOM
------------------------------------------------------------
TANK_NAME            | NODE       | ELEV    | T_ELEV  | DEMAND   | STATUS    
------------------------------------------------------------
IoT_Tank_CSA_0       | Junction_2360 | 610.6   | 680.6   | 0.0000   | SUCCESS   
IoT_Tank_CSA_1       | Junction_2099 | 596.7   | 666.7   | 0.0000   | SUCCESS   
IoT_Tank_CSA_2       | Junction_2334 | 613.1   | 683.1   | 0.0000   | SUCCESS   
IoT_Tank_CSA_3       | Junction_2382 | 612.7   | 682.7   | 0.0000   | SUCCESS   
IoT_Tank_CSA_4       | Junction_2341 | 593.2   | 663.2   | 0.0000   | SUCCESS   
IoT_Tank_CSA_5       | Junction_1579 | 611.2   | 681.2   | 0.0000   | SUCCESS   
IoT_Tank_CSA_6       | Junction_1529 | 601.1   | 671.1   | 0.0000   | SUCCESS   
IoT_Tank_CSA_7       | Junction_1446 | 613.1   | 683.1   | 0.0000   | SUCCESS   
IoT_Tank_CSA_8       | Junction_1424 | 611.9   | 681.9   | 0.0000   | SUCCESS   
IoT_Tank_CSA_9       | Junction_1594 | 610.3   | 680.3   | 0.0000   | SUCCESS   
------------------------------------------------------------

[SETUP] INSTRUMENT SELECTED PIPES AS CONTROLLABLE VALVES
------------------------------------------------------------
  ✓ 1145: Junction_1511 → Junction_1570
    → Valve: AgentCtrl_1145 (TCV, Initial: CLOSED)
  ✓ 1517: Junction_1478 → Junction_1979
    → Valve: AgentCtrl_1517 (TCV, Initial: CLOSED)
  ✓ 1563: Junction_2097 → Junction_1360
    → Valve: AgentCtrl_1563 (TCV, Initial: CLOSED)
------------------------------------------------------------
Total controllable isolation valves: 3

[SETUP] FIXING RESERVOIR HEADS (Target: 649)
------------------------------------------------------------
  - S_Paterno: 649.0 -> 649.0 m, pattern cleared
------------------------------------------------------------
